timestamp,open,high,low,close,volume
2025-03-02,4.663,5.23,4.568,5.205,14370599.81
2025-03-03,5.205,5.25,4.435,4.473,14498771.22
2025-03-04,4.474,4.515,4.017,4.33,16361521.68
2025-03-05,4.33,4.549,4.278,4.526,7554050.49
2025-03-06,4.525,4.664,4.343,4.431,7174387.38
2025-03-07,4.431,4.677,4.213,4.413,12234991.06
2025-03-08,4.412,4.446,4.26,4.289,4166889.83
2025-03-09,4.289,4.353,3.978,4.019,8567666.17
2025-03-10,4.019,4.285,3.775,3.868,11244883.73
2025-03-11,3.87,4.123,3.65,4.042,11221604.68
2025-03-12,4.044,4.097,3.847,3.968,9411906.66
2025-03-13,3.968,4.109,3.826,3.981,7535359.95
2025-03-14,3.98,4.228,3.969,4.187,7564082.21
2025-03-15,4.187,4.429,4.186,4.349,4603294.28
2025-03-16,4.35,4.366,4.183,4.298,4860914.03
2025-03-17,4.298,4.468,4.298,4.37,4964214.66
2025-03-18,4.372,4.487,4.232,4.45,4943541.34
2025-03-19,4.45,4.596,4.438,4.538,7492558.96
2025-03-20,4.538,4.567,4.327,4.399,4472127.93
2025-03-21,4.4,4.586,4.378,4.499,5759787.32
2025-03-22,4.5,4.547,4.415,4.446,3327416.15
2025-03-23,4.446,4.518,4.4,4.502,2678878.36
2025-03-24,4.503,4.773,4.469,4.62,5907545.08
2025-03-25,4.62,4.721,4.582,4.637,3866173.71
2025-03-26,4.637,4.767,4.596,4.694,5629934.83
2025-03-27,4.695,4.759,4.495,4.625,5678166.73
2025-03-28,4.623,4.646,4.242,4.282,5665177.03
2025-03-29,4.282,4.304,3.996,4.05,4478918.92
2025-03-30,4.05,4.173,3.985,4.042,3302917.68
2025-03-31,4.043,4.093,3.949,4.02,4622562.33
2025-04-01,4.021,4.282,4.015,4.171,4417348.85
2025-04-02,4.171,4.24,3.911,3.965,6989787.29
2025-04-03,3.965,4.111,3.845,4.059,5063977.24
2025-04-04,4.06,4.131,3.946,4.035,4789003.5
2025-04-05,4.034,4.069,3.897,3.956,2096452.45
2025-04-06,3.955,3.976,3.601,3.683,6022544.15
2025-04-07,3.685,3.735,3.282,3.593,15127726.43
2025-04-08,3.592,3.706,3.342,3.378,5407861.13
2025-04-09,3.377,3.753,3.25,3.643,11027926.38
2025-04-10,3.643,3.65,3.389,3.463,7342100.4
2025-04-11,3.462,3.599,3.45,3.557,5169131.93
2025-04-12,3.558,3.756,3.525,3.713,4420760.89
2025-04-13,3.713,3.816,3.615,3.668,6619352.13
2025-04-14,3.669,3.798,3.633,3.677,5218014.54
2025-04-15,3.676,3.735,3.516,3.519,4692519.65
2025-04-16,3.519,3.619,3.469,3.557,4278941.46
2025-04-17,3.557,3.698,3.54,3.634,3658951.76
2025-04-18,3.636,3.748,3.613,3.675,2261720.31
2025-04-19,3.675,3.892,3.645,3.88,2997616.3
2025-04-20,3.88,3.952,3.787,3.878,3877366.27
2025-04-21,3.879,3.982,3.771,3.78,4698554.41
2025-04-22,3.78,4.04,3.689,4.007,7580714.41
2025-04-23,4.008,4.198,3.999,4.093,7854197.12
2025-04-24,4.093,4.286,3.929,4.269,6601559.83
2025-04-25,4.268,4.374,4.215,4.254,6676283.69
2025-04-26,4.254,4.362,4.201,4.263,4527685.25
2025-04-27,4.264,4.291,4.056,4.09,5800570.8
2025-04-28,4.09,4.267,4.009,4.242,5819426.05
2025-04-29,4.242,4.33,4.101,4.147,3884592.85
2025-04-30,4.146,4.175,4.026,4.065,4199576.05
2025-05-01,4.066,4.224,4.064,4.177,3925860.31
2025-05-02,4.177,4.287,4.126,4.161,3231292.82
2025-05-03,4.161,4.172,4.012,4.028,2386438.85
2025-05-04,4.028,4.051,3.894,3.92,4232639.09
2025-05-05,3.919,4.022,3.884,3.918,3957728.74
2025-05-06,3.918,3.977,3.823,3.971,4277490.05
2025-05-07,3.972,4.007,3.88,3.969,2714666.36
2025-05-08,3.968,4.494,3.966,4.456,8866998.35
2025-05-09,4.455,4.863,4.434,4.799,11614442.99
2025-05-10,4.799,5.323,4.797,5.309,11854751.74
2025-05-11,5.309,5.362,4.954,5.097,8101384.06
2025-05-12,5.097,5.4,4.89,5.068,9921543.44
2025-05-13,5.069,5.273,4.823,5.195,6748215.11
2025-05-14,5.194,5.267,4.947,4.98,5284499.6
2025-05-15,4.981,5.028,4.679,4.779,7496534.85
2025-05-16,4.778,4.956,4.711,4.755,4420510.08
2025-05-17,4.755,4.768,4.557,4.612,3799964.46
2025-05-18,4.613,4.921,4.508,4.793,4741500.76
2025-05-19,4.794,4.821,4.412,4.596,5563926.25
2025-05-20,4.597,4.727,4.519,4.677,4133769.06
2025-05-21,4.677,4.877,4.612,4.74,6374820.22
2025-05-22,4.741,4.977,4.732,4.948,4934402.45
2025-05-23,4.948,5.12,4.531,4.561,10214231.78
